PID,Have you ever used AI tools or assistance in your work?,Which AI tools have you used? (Select all that apply),For what purposes have you used AI tools?,How frequently do you use AI tools in your work?,"To what extent has AI assistance improved your productivity? (1 - Not at all, 2 - Slightly, 3 - Moderately, 4 - Significantly, 5 – Drastically)","How much do you trust the output generated by AI tools? (1 - Not at all, 2 - Slightly, 3 - Moderately, 4 - Significantly, 5 – Drastically)",What challenges have you faced while using AI tools? (Select all that apply),Do you prefer working with GitHub Copilot or with a peer? Please explain.,Do you think your concentration is better when working with GitHub Copilot or with a peer? Please explain.,Do you think the quality of your code is better when working with GitHub Copilot or with a peer? Please explain.,Do you think you work faster with GitHub Copilot or with a peer? Please explain.,Do you trust your solution more when using GitHub Copilot or when consulting a peer? Please explain.,"Do you retain information about your solution more when using GitHub Copilot or when consulting a peer? If asked to solve the tasks again without Copilot or a peer, which solutions would come to mind more easily? Copilot’s? Your peer’s?",Explain your solution briefly for the edge case handling in update_processcount method.,Explain your solution briefly for the fallback logic in get_io_counters method.,Explain your solution briefly for adding the new method serve_limited.,Explain your solution briefly for the logging in the authentification of check_user method.,Explain your solution briefly for adding a PluginStatistics class.,Explain your solution briefly for the optional filtering in the getAll function.,"On a scale of 1 to 10, estimate the overall difficulty of the tasks you were asked to complete. Please specify a number. (1: very easy – 10: very difficult).",To what extent did you rely on the AI's suggestions in your tasks? (1 - Not at all    2 – Slightly.    3 – Moderately  4 - Very much 5 – Completely),To what extent did you rely on your peer’s suggestions in your tasks? (1 - Not at all    2 – Slightly.    3 – Moderately  4 - Very much 5 – Completely),"After completing the tasks, would you do anything differently next time? Please explain.",Any additional comments?
p121,Yes,"ChatGPT, Copilot (GitHub), Claude","Generating code, Debugging or troubleshooting, Documentation or comments",Daily,4,3,"Incorrect or irrelevant suggestions, Lack of explainability in AI outputs, Ethical concerns about data privacy or security",It depends on the task. For very complex task or big project  I prefer a peer. But for little project GitHub Copilot.,I think it's the same,"Better with copilot. The form is nicer, i can write more verbose comments. It's usually more concise with copilot. ","It depend. For task that are requiring to write a lot of simple code, i will be much faster with copilot. For complex task, it will be faster if i found the correct answer with a peer than if i have to try several times with copilot.","About the same, i will check online to see if the solution looks good for both Copilot or peer.",I retain more information when I'm working with a peer. I think my peer's solution will come to my mind more easily. ,We change is by == if I remember well. My understanding is that == is checking the content and is is checking the object,I don't remember,I add a method that run an infinite while loop of handling request. I initialise a counter at 0 and i stop the loop when the counter is greater or equal to the max number of request or when the server is finished.,If just log f strings in the different cases with the username inside and the information of successful login or not.,In this class we simply use the existing function to retrieve the plugins. With enable=True we have all the enabled ones and with enable= False we have all of them. We use set operations to select the disabled ones.,"First we check if the optional filter list is given. If not, we return all the plugin else, we return only the plugin that are in the filter list. We check if the plugins of the filter list are in the dict of all plugins.",5,4,1,No I don't think i would do anything different.,
p122,Yes,ChatGPT,"Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming",Weekly,3,1,difficulties to explain some complex problems,"A peer, usually the peer already know what are you working with so he'll be able to help more efficiently without proposing not applicable solutions and always have a better solution for complex problems.","Copilot, because generally it help you a lot with small problems so you can go on","Copilot, because it propose the best syntax adapted for the code you gave.","Copilot, because in general it help you write more efficiently the code.","When consulting a peer, in general he have a better idea of the possible impacts of your code.","When it's a peer, because in most of times he'll not read everything so globally he would give a better advice, but copilot will give more sharp advices on the details. ",I changed the operator is by ==,Not done,Not done,"I used the logger method in glances, and logged info when the user is authentified, and logged warning when he's not.",Not done,"not completed, but was trying to use filter on the names that are in the list provided.",5,2,3,"Yeah, i would've watch more my time.",Thank you
p123,Yes,ChatGPT,"Generating code, Debugging or troubleshooting, Idea brainstorming",Daily,4,4,"Incorrect or irrelevant suggestions, Ethical concerns about data privacy or security","GitHub, it is faster and I dont need to explain many context to get my answer",with github since i can ask many question and receive a comprehensive answer,"github, since the code provided by github is more complex and more trusted","Github , the comprehensive answer by github help me top work faster since it provides the whole code section. ","Github, it has access on same and many similar solutions",Copilot,I didnt have to answer,I didnt have to answer,I didnt have to answer,I didnt have to answer,We made a class to access the getlist function and count the total at the end by enable and disable the list function,we add an if two liner to check for plugin,6,5,4,start asking the copilot or peer sooner to finish the task sooner with help,Thank you
p124,Yes,"ChatGPT, Copilot (GitHub), Claude Haiku","Debugging or troubleshooting, Documentation or comments",Occasionally,3,2,"Incorrect or irrelevant suggestions, Difficulty integrating AI suggestions into my workflow, Lack of explainability in AI outputs",The peer can return more nuanced responses which may be more relevant to my coding situation. ,My concentration was better when working with GitHub Copilot because the responses were instant.,"Peer, I can always add precisions if the peer is going in a direction which is far from what I need.","GitHub Copilot, because the responses are faster. Only concern is when working with unfamiliar codebases, I don't exactly know what to ask because I can't precise what I'm working with myself.",I would trust the input of a peer more than GitHub Copilot.,Copilot's.,I didn't solve this problem by lack of time.,I didn't solve this problem by lack of time.,"I created a new function which asked for a limit parameter. I initialized a counter which started at 0. If the counter ever exceeded the limit variable, I called the self.end() function.","Before returning the boolean value of whether the authentication was successful, I saved it to a variable, which allowed me to log it, along with the username, to the console. I also updated the log function with Copilot's recommendations, but I don't think it was necessary, as that function is never called.",I only had time to create the class signature. The class in my solution is empty.,"I added an additional optional parameter for the filtering names. I added an if statement which checks if that parameter exists or not. The else case is what the function was initially. The if case modifies the list comprehension to add an if statement, which only adds the plugin if its name exists in the filter list provided.",9,2,2,"I would try to find documentation for the classes and objects I manipulated during my tasks, that information would've been helpful.",
p125,Yes,Copilot (GitHub),"Debugging or troubleshooting, Documentation or comments",Occasionally,5,5,about the time of responding,Github is faster but peer is more accurate,"yes,it will be help to understand challenges that we face with","no,peer is more acccurate",I think github is faster,"yes,it generates well",Peer,we can use the better method ,we should create a method to get a counter ,we have added the server to run our project better ,we change the operator in the code,I don't have any solution right now,I don't have any solution right now,7,4,3,"yes,I will do that",Thank you for your experiment
p126,Yes,"ChatGPT, Copilot (GitHub), Gemini","Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming",Daily,4,4,Incorrect or irrelevant suggestions,Github Copilot,Github Copilot,Github Copilot,GitHub Copilot,GitHub Copilot,Peer,Don't remember,Don't remember,Don't remember,"I check if the password matches with username if no, I log unsuccessful if yes, I log successful.  ","I created a constructor and two functions, one that returned all active plugins and 1 returned all inactive plugins",I added an optional parameter and verified if it's not null and then if it is I returned all the plugins if not I return the specified plugin form the parameter.,7,2,2,Take more time to understand the code before answering,All good
p127,Yes,ChatGPT,"Generating code, Debugging or troubleshooting, Idea brainstorming",Daily,4,3,"Difficulty integrating AI suggestions into my workflow, Lack of explainability in AI outputs",GitHub Copilot ,"with GitHub Copilot, Im more focus because Im sure that it is close to the best answer and It don't judge me. ",My code is better with github Copilot because It adds commentaries to the code.,I work faster with GitHub Copilot because it often gives me an idea and I develop it.,I trust more my solution when using GitHub Copilot because an human doesn't the memory of an AI.,I retain more information when consulting a peer. The solutions with the peer would come to mind more easily.,I didn't remember it.,I didn't remember it.,I didn't remember it.,I didn't remember it.,"I created three function in the PluginStatistics class. One which verify the active plugin, Other which verify the off plugin and I forgot the last.",I didn't do it.,4,5,5,"Next time, If I have to learn a programming language I will questioning the AI to put me on right path.",
p128,No,I don't use AI.,I don't really use AI tools in programming.,Rarely or never,1,1,Ethical concerns about data privacy or security,"I prefer working with a peer, especially when they know the source code. They can also provide insights regarding the requirements of the software. It's also helping me making sure I write code that respects the intention and/or best practices of the team.","I think my concentration is better when working with a peer. I find GitHub Copilot to often give irrelevant suggestions in my opinion and when I hit TAB accidentally, I need to go back and forth.","I think the quality of the code is better with a peer, since they often know the overall code and the best practices for QA and norms in the team. This helps me making sure I write code that respects what the team wants.","GitHub Copilot helps to write faster, although I think that when it suggests irrelevant content, it slows down the process and can create some confusion.","I trust my solution more when consulting a peer because of their knowledge of the overall code and norms to respect in the development team. They can also provide insight regarding the requirements of the projects, which GitHub Copilot may struggle more.",I retain information about my solution more when consulting peer. The solutions that would come to mind more easily would be my peer's.,"I changed the ""is"" to ""=="" (due to how the hint was implying it was related to an operator.)",I did appended the time.time() result in the list after the operation in the else statement block.,"I didn't have time to finish it but I wanted to make a counter and a limit attributes. Then, the serve_limited method would count each time a new request is handled and when the counter is higher than the limit, it would call the end() method.","I used the logger that was already imported. I stored the password check result in a boolean variable. Then, I used this variable to determine which logging message to show. The logging message showed the username and if the authentication was successful or not.","I created the PluginStatistics class and made it so it would have an instance of the other class in their attributes. Then, I used two separate methods to count the activated and disabled elements (as suggested by my peer). Each of these methods would have only one return statement that would call the other method in the other class that would count the activated and disabled elements.",I didn't complete it.,6,2,5,I would spend less time looking at the overall code and focus more on the single method that we were asked to work on.,
p129,Yes,"ChatGPT, Copilot (GitHub)","Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming",Daily,5,4,"Incorrect or irrelevant suggestions, Difficulty integrating AI suggestions into my workflow, Ethical concerns about data privacy or security",Copilot. It doesn't judge! It doesn't know if you lack something or don't know some stuff. It just help and answer your question. It has much wider knowledge. It's much faster. ,"Copilot. I guess with a peer I get a bit nervous. It's a bit weird for me that someone always concentrate on my code. I'm completely ok of asking questions from a peer when I don't know a concept or need help with something, but coding constantly with a peer is a bit weird for me.","Depends on the experience of my peer! Overall I would say Copilot. But if I have a peer who has 25 years of experience in the exact same thing I am doing, I weight their suggestion more than copilot. But for general usage, I'd say copilot is more trustable to me.","Copilot. I for sure code faster with Copilot. However, considering the debug time, maybe if my peer is very experienced, I need very less amount of debugging with them. On the other hand, using AI needs more debugging time. But generally I feel with Copilot I'm faster.","As mentioned before, unless my peer has many years of experience in the exact same thing I'm doing (which rarely is the case), I'd trust Copilot more.",I can't say for sure. In this task I just asked 1 question from Copilot and 1 question from the peer. So based on this experience I don't know which one is closer to my though chain.,I didn't solve this question.,"I added a parameter in the method as a maximum number of times the method should run. I added a counter i. If i exceeds that maximum parameter, it uses the exit() function to exit the program. I also added a debugger to get some info. (I'm not sure if the explanation I just gave is for the question 'get_io_counters method' or 'serve_limited' so I just copy-paste it in both)","I added a parameter in the method as a maximum number of times the method should run. I added a counter i. If i exceeds that maximum parameter, it uses the exit() function to exit the program. I also added a debugger to get some info. (I'm not sure if the explanation I just gave is for the question 'get_io_counters method' or 'serve_limited' so I just copy-paste it in both)",I didn't solve this question.,"I added this class and called another function in it. Based on the output of that function (if true or false), I'd determine the number of active and inactive plugins.","I added a if else statement and added a parameter for the class. If the parameter was not Null, the class returns the data related to those parameter names. If the parameter was Null, it behaves as before and return everything.",7,3,2,"Yup. In the beginning I though the experiment is 3 questions of 5 minutes so I expected to be stopped after 5 minutes. But in reality it was 15 minutes in a row. So I lost time on the first phase. If I knew this, I could answer more questions in phase 1.","I felt the task was a bit harder than what I expected. Jumping right into a project and having 5 minutes to look at a task and understand how the function/class works and be able to modify it was hard! And I guess it's usually not the case. Usually the programmer/debugger spends time to understand the project they wanna work on. Besides, I suggest to change the keyboard layer for each participant, as some may not be familiar with French Canadian layer."
p130,Yes,ChatGPT,"Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming, Sometimes I'm just bored, I liked to mess around, have a bit of fun.",Daily,2,3,"Incorrect or irrelevant suggestions, Difficulty integrating AI suggestions into my workflow, Lack of explainability in AI outputs, AI makes my learning harder. It's hard to understand some subjects and instead of trying to learn stuff I just depend on the answer of ChatGPT","I think that I like the answer of the peer better. It's a bit more stressful to write to the peer, but the quality of the answer is definitely better. It's hard to trust Copilot's answer.",My concentration is better with the peer. I feel like I can go deeper with it because I know that my questions needs to be well formulated.,The quality of the code working with the peer is definitely better. I wasn't really sure of what I was doing with Copilot and I didn't trust the answers from Copilot so I just kept my own answer.,"I worked was faster with the peer. I was confused with the answer that Copilot gave me. I didn't really care about it either I didn't feel any pressure to get the task done. With the peer, I felt like I really needed to understand before sending a question.","I really don't trust the answers from Copilot. I don't blindly trust the peer answer because I know that if I answer myself to the questions, I might do a mistake. However, if I feel like the person know the subject better than I do, I will trust the answer more than my own. ","I retain much more information when working with the peer. Messages such as ""what line are you not sure about"" really make me question if I truly understand the topic or if I actually need more help to finish the problem. I have a vague idea of what I did with Copilot.",I think that in Python that 'is' operator is not the same as the '==' operator. I am not sure if this was correct.,"For the fallback logic, I only need to import time and the use the function time.time() to generate a timestamp, I'm not able to append the timestamp to the list. ",Didn't do it ,Didn't do it ,Didn't do it ,You needed to filter the elements of the list using a name which is a new parameter to your function. You are suppose to use it to filter the current list. If no variable name was provided you should simply return the default array. ,7,2,3,"I will not be using Copilot. I like the idea of SimpleX, but it also makes things simpler. I hate those tools and I think that they are a waste of time. I like SimpleX way better, but I feel like those tools makes me way slower than simply using Google.",George is the most ambitious person I've ever met. What a man
p131,Yes,ChatGPT,"Generating code, Debugging or troubleshooting, Idea brainstorming",Weekly,4,3,"Difficulty integrating AI suggestions into my workflow, IA don't understood all i want to say ","A peer, because I prefer human contact and I think the communication is better ",with a peer ,"A peer, because she/he take the time to make sure that I understand ",I work faster with peer than copilot ,With a peer ,I retain more easily with a peer explications and peer solutions come back in my mind faster than copilot solutions ,I haven't succeed to solve this method ,I haven't succeed to solve this method ,I didn't had the time to solve this method ,I didn't had the time to solve this method ,"for this one, I thought that I had a idea but I don't remember ",I had to create a filter list function and change the last of return,8,3,4,"No, it was good",Very good experience.
p132,Yes,"ChatGPT, Copilot (GitHub)","Generating code, Debugging or troubleshooting, Idea brainstorming",Occasionally,4,2,"Incorrect or irrelevant suggestions, Lack of explainability in AI outputs, Ethical concerns about data privacy or security",With Copilot because he has a more broad range of answers available than a peer that will most likely have the same set of knowledge as myself.,With Copilot because when working with a peer we often diverge of the task at hand by speaking about other topics.,"I think the quality is equal in both cases, I didn't yet have an ""outstanding"" answer given by Copilot that surprised me by its quality, its mostly average code.","With Copilot, he can generate a full function in a few seconds simply by the function name, or by the context of my current work.","When consulting a peer, because I feel like I understand more the solution since I'm discussing it with someone rather than simply accept the proposed solution by Copilot without really understanding what it does exactly.","I retain more when consulting a peer since I write the whole solution and by talking about it, I remember it for longer than simply pressing ""Tab"" to accept the proposed solution. The peer's solution comes first because I spent more time thinking on it.",I don't remember,Simply add the current timestamp if we're in the default case.,The method takes in as parameter the number of requests it should handle and calls the method that number of times.,I didn't have time to do it.,"The class contained an instance of the other class (I forgot the name) and had two attributes, one for enabled and one for disabled plugins. It also had two getter methods (one for each type of plugins) that called the method of the other class with the corresponding parameter (True/False) and modified the values of its attributes before returning them.",I don't remember.,5,4,2,Split the tabs to avoid going back and forth to reread the questions every few seconds because I forgot the name of the class or the method that I'm supposed to implement,"Excellent researcher, 10/10"
p133,Yes,ChatGPT,"Generating code, Debugging or troubleshooting, Documentation or comments",Daily,4,2,Incorrect or irrelevant suggestions,je préfère github copilot car la réponse est instantanée , je trouve que j'ai la même concentration,je penses qu'avec une personne le code sera plus juste,je pense que github copilot donnera une réponse plus rapidement et j'aurai le temps de la debugger avant que la personne ne génère le code ,je ferai plus confiance à une personne qu'à copilot ,également dans les deux car je relis et je debug à la fin ,je ne me souviens pas ,je ne me souviens pas ,"
je ne me souviens pas ","
je ne me souviens pas ","
je ne me souviens pas ","
je ne me souviens pas ",10,1,2,j'aurais réviser python avant de venir ,
p134,Yes,ChatGPT,"Generating code, Debugging or troubleshooting",Daily,4,2,Incorrect or irrelevant suggestions,avec copilot c'est plus rapide ,c'est la même car dans les 2 cas je relis le code ,avec copilot car j'ai plus de temps pour adapter le code à ce que je recherche ,copilot le code est généré plus rapidement j'ai donc plus de temps pour l'adapter ,avec copilot car même s'il fait des erreurs parfois tu peux lui redemander et les réponses se rapprocheront de ce que je rechercher ,pareil ,je ne me rappelle pas ,j'ai utilisé la fonction getList avec Enable = true et Enable = false pour récupérer les 2 nombres ,je ne me rappelle pas ,je ne me rappelle pas ,je ne me rappelle pas ,je ne me rappelle pas ,7,4,3,réviser mieux mon python ,
p135,Yes,"ChatGPT, Claude sonnet","Generating code, Debugging or troubleshooting, Documentation or comments",Weekly,3,2,"Incorrect or irrelevant suggestions, Difficulty integrating AI suggestions into my workflow","je trouve que parler avec un coequipier est mieux, elle semblait avoir plus de contexte et repondais de facon concise aux questions que je lui posais alors que l'ia produisait beaucoup d'information qui était superflue","avec une binome car je sens l'urgence de reflechir davantage aux propositions qu'elle me donne et de prendre en consideration son aide étant donné que quelqu'un est avec moi, c'est comme si je ne voulais pas lui faire perdre son temps donc je me reflechissais plus, je traduirait ca par une conscience du possible manque de disponibilité de la personne avec qui j'échange donc j'accorde plus de ""valeur"" a cet echange.","je ne crois pas qu'il y aurait une difference notable, la qualité de mon code dépend devantage de mon habitude a écrire du code comprehensible que j'ai adopté ou pas.","avec un binome pour la meme raison que citée dans la question ""Do you think your concentration is better when working with GitHub Copilot or with a peer? Please explain.""","pas vraiment de difference notable, au final j'ai été celle qui ecrit le code j'ai seulement solicité l'aide des ressources, mais si j'avais a trancher ca serait avec l'aide de ma binome car elle m'a été la plus utile","si je devais refaire les questions sans utiliser copilot je pense que je serait capable de les faire toute seule (avec plus de temps, plus de familiarité avec code et une meilleure revision de la syntaxe de python)","j'ai simplement ajouté un message de journalisation log avec le nom de l'utilisateur, cela a été facilité par le completion automatique mais j'aurait fait la meme chose",non applicable,non applicable,non applicable,je pensais faire une methode de la classe PluginStatistics qui retourne un booléen pour savoir si le plugin est bon ou pas (quelquechose du genre isEnable) et une autre methode qui est un compteur qui compte le nombre d'element pour lequel la methode isEnable retourne vrai quand on passe en paramete une structure de donnée (une liste),non applicable,9,2,3,"je reviserai davantage la syntaxe en python car j'ai perdu du temps juste a creuser pour m'en souvenir au lieu de faire les taches, sinon je ferait un survol du code au lieu de me presser a commencer pour lire et comprendre ce qui se passe. ",
p136,Yes,"ChatGPT, Copilot (GitHub)","Generating code, Debugging or troubleshooting",Weekly,3,2,Difficulty integrating AI suggestions into my workflow,"GitHub Copilot, because I do not need to explain my code or copy and paste it to show it to someone. Because of this, it is also faster which I like.","When working with a peer, because I need to be  able to know more in detail what I code to explain it to my peer if I need their help and with Github Copilot I can just throw it some code and I will get an answer","With a peer, because we can think it through with logic and help each other but with Copilot I don't necessarily review the code as much as I do it when coding with a peer so I usually catch bugs more often with peers.","With GitHub Copilot, since I don't need to explain my complete reasoning behind the code as I do with a peer. Also it usually comes up with an answer faster than me and the peer do.","When consulting a peer, because when I work with a peer usually one of us catches the bugs and solves it which doesn't necessarily happen with Copilot.","When consulting a peer, since I need to explain my reasoning behind the code I wrote and it helps me remember it better and I don't do that with Copilot. The solution with my peer would come to mind more easily.",I forgot,I didn't have time to finish up this solution,"I used a while loop and a variable to keep track of the number of requests done by the server and when the number of requests was equal to the limit, I exited the while loop and called the end() method to close the server.",I asked copilot to come up with a solution and to use the logger module since I don't have a lot of experience with it and copy-pasted it in the code,"I added two static methods, one to get the total number of plugins with enable=False and the other to get only the active plugins with enable=True ",I didn't have time to complete this,7,3,1,"I would use Copilot more, since for me the tasks where we were allowed to use GitHub copilot were harder than the ones where we were allowed to ask a peer. I also lost too much time hesitating about things while doing tasks, which made it so that I didn't finish all of the tasks.",
p137,Yes,"ChatGPT, Copilot (GitHub)","Generating code, Debugging or troubleshooting, Documentation or comments",Daily,5,5,"Incorrect or irrelevant suggestions, Lack of explainability in AI outputs","peer , cause he understand more quickly and get you to the straight point  ","peer, cause at any time I don't need to ask again or explain like the copilot","copilot, maybe peer is faster but copilot give the shortest way to the solution ","peer, cause as explaining to humane is easy to get to the point and suggest fastest method ","peer, GitHub follow your idea and give u suggestion of the code even your logic of coding is false",peer more than copilot,je l'ai pas fait,je l'ai pas fait,je l ai pas fait,je l ai pas fait,je l ai pas fait,je l ai pas fait,8,1,4,i would focus more on the each to do seperetly,
p138,Yes,"ChatGPT, Copilot (GitHub), Claude","Generating code, Debugging or troubleshooting",Weekly,2,3,"Incorrect or irrelevant suggestions, Lack of explainability in AI outputs",I prefer working with a peer because I feel like they can explain better and know exactly what I need help with.,With a peer because I feel like it is more interactive than reading off of a website or software.,With a peer since I understand what my peer explains to me more than what Copilot says.,With a peer because they explain better and usually I prefer understanding the code I'm writing instead of just using it to solve my problem.,When consulting a peer for the same reason I stated in the last question.,I retain information better when asking my peer for the same reason as the question above. My peer's solution would come to mind more easily for that reason.,We needed to verify if the values were equal and not that they were the same.,Did not answer,"Did not answer the question, but I was going to use an if statement to verify if the amount of requests was past a set limit. It would result in calling the end method.",Did not answer,"Did not finish, but I was going to implement getters for the amount of active an disabled plugins.",We needed to verify if the values were equal and not that they were the same.,7,2,4,I would not do anything differently.,
p139,Yes,ChatGPT,"Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming",Daily,4,3,Incorrect or irrelevant suggestions,GItHub. i trust more a copilot.,a peer because I need to focus on what I am doin or asking,GitHub because a copilot know more than a peer,With copilot I work faster because it generate the code faster.,I trust more the copilot. ,I did not have the time for the part with peer but I guess I could retain more with peer because I spend more time with the peer to explain the problem.,I don't remember ,I don't remember ,I don't remember ,I did not do that,I did not do that,I did not do that,7,4,4,I will go faster ,no
p140,Yes,"ChatGPT, Copilot (GitHub)","Generating code, Debugging or troubleshooting, Idea brainstorming",Weekly,3,3,Incorrect or irrelevant suggestions,"GitHub Copilot, it is faster and the responses are more detailed","The concentration when working with the peer because the explain in a way for the peer the understand, with the copilot I usually copy and paste the instructions and the code for suggestions or solutions.","The quality of the code is higher with the Copilot usually, because its solutions and code are most of times optimized",I work faster with Copilot because it gives the solutions ready to be copied and pasted,"I trust the solution more when I work it out with a peer, and even if I use the copilot I still go through and check the correctness at every steps","I retain more when consulting a peer and asked to solve the tasks again, it's the solutions with the peer that would come to mind more easily","I didn't have the time to complete the code writing, my solution was to add to plist (the list of status used in the lambda function) the edge cases.",My solution consisted to first get the time stamp at the default initialization and then append it after the tag,I did not have enough time to explore the question,"I did not finish the question, but the solution schema was to check the authentification of the user name and return a warning if it not correct",I did not have enough time to explore the question,"I added a filter_list of plugins as parameter initialized by None
In the case any list is given, the function return only the stats of the specified plugins (we also check for every element in the list if it exist in the _plugin dictionary)
When filter_list  is None, we return the stats for all the plugins",7,3,4,"Yes, be more aware of the time constraint to explore all the questions.",No
p141,Yes,ChatGPT,Mathematics homework,Rarely or never,1,3,Incorrect or irrelevant suggestions,"I felt a better flow in communication when talking with a peer. While Copilot's answers were accurate and pretty easy to understand, it seemed like the peer wanted to truly help me and understand the code at the same time as me. I definitely preferred the latter.","I did not feel like my concentration was better with one or another. However, I felt like I did not want to waste the peer's time or ask her too many questions. This made me more nervous and more inclined to really try and understand the questions by myself.","I think that the quality of my code is better when working with a peer. GitHub Copilot did not seem to take into account many of the functions already implemented in the provided code. It might have been because of a mistake in my questions, but I feel like the peer was much more considerate of everything that is needed to answer the question and will ""see"" the project in a way similar of the one of the user (me). ","In this case, I feel like I work faster with GitHub Copilot. Since I was nervous trying to understand the question when working with a peer, my brain was more in a ""panic"" mode than a ""comprehension"" mode. Working with Copilot allowed me to take the time I needed to understand the question, since the AI will never have to wait for me or be overwhelmed by my questions.","I definitely trust my solution more when consulting a peer. I think that GitHub copilot could have difficulty following my work process and memorizing what issues I am facing when working. This could lead to a solution with a lack of good flow and consistence. However, I feel like the peer has a better understanding of the problem and a better recollection of my progress in the problem.","I would retain more information from the peer. In my case, this would be because I asked some questions about it and because I had to fix some (intentional or not) typos in her solution. I remember Copilot's solution less since I used them pretty much directly without a lot of changes.",I did not manage to reach this question.,"When the io_counters procedure was initiated to their original values in the ""else"" block of the method main's else-if, I added the peer's code after the line to add the required timestamp.","I could only manage to add a simple counter to the function. Copilot suggested that I use a while loop to check if the counter was below the limit, which I was probably going to do.",I did not manage to reach this question.,"I could only manage to create the class' head, 3 attributes and the head of the __init__ function. I did not know where to start and I asked the peer, who started explaining it to me. I did not have time to finish.","I first checked if the filter_list was provided in the function's parameters. If so, I checked if each plugins was in the filter_list. When it was, I added them to a temporary list that I then returned. If no filter_list was provided, I returned the raw plugins list.",8,3,5,I would probably ask questions directly to Copilot or the peer when starting. I may have waited too long trying to understand something that was too difficult for my level. ,"As mentioned above, my skill level for these tasks may have been too low for this. I hope that the results will still be useful! "
p142,Yes,"ChatGPT, Copilot (GitHub)","Generating code, Debugging or troubleshooting, Idea brainstorming",Daily,4,4,"Incorrect or irrelevant suggestions, Difficulty integrating AI suggestions into my workflow","For daily tasks, Copilot since it's much faster and more efficient. For code-review procedures I prefer to rely on a peer rather than AI stuffs.","Copilot might be better since it already know what's happening in the code (based on my coding structure, the relations among the classes/methods, etc.).","Depending on the peer, I guess using with a peer might have more quality.","Of course with Copilot due to its much faster pace for generating code, debugging, etc. Using a peer is only better when it comes to code-review, as we may put more time and precision.","Again, depending on the peer, it might be more secure to go with a peer. However, as a daily-basis task, Copilot is my preference.","I guess Copilot since I have seen a significant number of solutions provided from it, so I might be more familiar with its coding characteristics.",I didn't have time to finish this task :(,"When initializing the counters, I appended a timestamp of current time using time.time() to the counters list. ","I added two class variables, which represented the current number of requests along with the threshold of requests. However, as I'm now writing this text, I do remember that I forgot to put a statement to increase the number of handled requests in the while loop. So, if you were checking it, consider that :D",I added three logging statements: 1) one `info` level logging for successful authentication of the user and 2) two `error` level loggings for a) not found user (in the dict) and b) wrong username or password,I didn't have time to implement this class :(,"I introduced a method parameter (Optional[List[str]]), which the user could indicate which plugins should be processed (if given any)",3,4,1,"No, I guess I'll do the same procedure, but maybe put more time on understanding the tasks rather than implementation phase. ","No, it was a cool study :D"
p143,Yes,"ChatGPT, BlackBox","Generating code, Debugging or troubleshooting",Weekly,4,3,"Incorrect or irrelevant suggestions, Lack of explainability in AI outputs","A peer, I feel like a peer can understand more what I'm trying to say and can help me find the solution by giving me hints and explaining better.","With a peer, because I know that someone is here waiting to help me, so I'm more concentrated in my work.","A peer, because sometimes AI doesn't understand all the parts of the code and suggests random things.",With a peer because we are both trying to find the solution and we both think about it.,A peer when he or she is more experienced because as I said before sometimes AI suggests random things and can't make links between all the files/ parts of the code.,My peer's because it's not just a bot that gave me a solution that I copied.,Do not remember,Don't remember,"I put a request_count = 0 , a limit argument and I used a while loop to check is the count was less than limit to use the finished method and increase the request_count by one, and outside the while I called the end method",Did not do it.,did not do it.,do not remember,7,3,4,Ask more questions,
p144,Yes,"Mistral, Pascal","Generating code, Debugging or troubleshooting, Documentation or comments, Idea brainstorming",Daily,4,3,"Incorrect or irrelevant suggestions, Ethical concerns about data privacy or security, Ensuring no company info is shared with the AI","GiyHub Copilot, less ''shame'' when asking a question. And you can ask multiple questions back to back. ","With peer, I need to concentrate more on how to ask my question instead of relying on the fact that I can let the AI try to understand a context from my query.","with GitHub Copilot, the autocomplete help me to keep a proper and whenever I do not know how to start a function it will do it for me. I then just have to verify if it is the function that I really need.","With Copilot, more availability from the AI, as soon as my question is asked I can get an answer and start the resolution process for my issue with some back and forth. The AI can also generate some base code if I give it an idea of the function that I want to write which helps starting.","More from a peer, my peer would have more understanding of the whole context and the solution will be adapted to the whole situation. With the AI, since you cannot give it the whole context, you have to go through the code to ensure that it follows the instruction that you have given to it.",I only asked 1 question to my peer compared to a few questions to Copilot and I do remember better the answer from my peer. Maybe since the question to my peer was more about explaining a part of the code but I still remember the answer while I forgot what Copilot's answers were.,I did not take in charge the edge case handling,I did not do it,i did not do it ,"I wanted to give the user the information required to redo the authentication process. If the username was non existent, the user would get information on that. Otherwise the message would only say that the username and password given do not match.",i did not do it,i did not do it,6,3,2,"AI:I would maybe use it to give me a bullet point resume of each tasks so as to ensure that I understand the entirety of the task from the start. 
Peer :  I would probably ask more questions. This would probably help me get a better understanding of the task and the code since I would have to verbalize it to someone.",give george an A*
